#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016046347;;24023133;2026-02-22 04:00:00;00;MAD;51;water;237;0;0;0;2026-02-22 12:32:00;3.859;0.000;0.126;2026-01-01 00:00:00;2.340;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.047;2025-09-30 00:00:00;0.056;2025-10-31 00:00:00;0.103;2025-11-30 00:00:00;0.126;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016046347;;24023138;2026-02-22 00:00:00;00;MAD;51;water;233;0;0;0;2026-02-22 08:31:00;5.818;0.000;0.104;2026-01-01 00:00:00;3.380;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.040;2025-09-30 00:00:00;0.049;2025-10-31 00:00:00;0.073;2025-11-30 00:00:00;0.104;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023138;2026-02-22 01:00:00;00;MAD;51;water;234;0;0;0;2026-02-22 09:31:00;5.820;0.000;0.104;2026-01-01 00:00:00;3.380;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.040;2025-09-30 00:00:00;0.049;2025-10-31 00:00:00;0.073;2025-11-30 00:00:00;0.104;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023138;2026-02-22 02:00:00;00;MAD;51;water;235;0;0;0;2026-02-22 10:31:00;5.820;0.000;0.104;2026-01-01 00:00:00;3.380;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.040;2025-09-30 00:00:00;0.049;2025-10-31 00:00:00;0.073;2025-11-30 00:00:00;0.104;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023138;2026-02-22 03:00:00;00;MAD;51;water;236;0;0;0;2026-02-22 11:31:00;5.820;0.000;0.104;2026-01-01 00:00:00;3.380;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.040;2025-09-30 00:00:00;0.049;2025-10-31 00:00:00;0.073;2025-11-30 00:00:00;0.104;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023138;2026-02-22 04:00:00;00;MAD;51;water;237;0;0;0;2026-02-22 12:31:00;5.820;0.000;0.104;2026-01-01 00:00:00;3.380;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.040;2025-09-30 00:00:00;0.049;2025-10-31 00:00:00;0.073;2025-11-30 00:00:00;0.104;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016046347;;24023139;2026-02-22 00:00:00;00;MAD;51;water;233;0;0;0;2026-02-22 08:31:00;4.092;0.000;0.338;2026-01-01 00:00:00;2.740;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.013;2025-09-30 00:00:00;0.098;2025-10-31 00:00:00;0.100;2025-11-30 00:00:00;0.338;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023139;2026-02-22 01:00:00;00;MAD;51;water;234;0;0;0;2026-02-22 09:31:00;4.092;0.000;0.338;2026-01-01 00:00:00;2.740;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.013;2025-09-30 00:00:00;0.098;2025-10-31 00:00:00;0.100;2025-11-30 00:00:00;0.338;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023139;2026-02-22 02:00:00;00;MAD;51;water;235;0;0;0;2026-02-22 10:31:00;4.092;0.000;0.338;2026-01-01 00:00:00;2.740;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.013;2025-09-30 00:00:00;0.098;2025-10-31 00:00:00;0.100;2025-11-30 00:00:00;0.338;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023139;2026-02-22 03:00:00;00;MAD;51;water;236;0;0;0;2026-02-22 11:31:00;4.092;0.000;0.338;2026-01-01 00:00:00;2.740;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.013;2025-09-30 00:00:00;0.098;2025-10-31 00:00:00;0.100;2025-11-30 00:00:00;0.338;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023139;2026-02-22 04:00:00;00;MAD;51;water;237;0;0;0;2026-02-22 12:31:00;4.092;0.000;0.338;2026-01-01 00:00:00;2.740;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.013;2025-09-30 00:00:00;0.098;2025-10-31 00:00:00;0.100;2025-11-30 00:00:00;0.338;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016046347;;24023140;2026-02-22 00:00:00;00;MAD;51;water;233;0;0;0;2026-02-22 08:21:00;2.237;0.000;0.163;2026-01-01 00:00:00;1.512;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.102;2025-09-30 00:00:00;0.041;2025-10-31 00:00:00;0.067;2025-11-30 00:00:00;0.163;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023140;2026-02-22 01:00:00;00;MAD;51;water;234;0;0;0;2026-02-22 09:21:00;2.237;0.000;0.163;2026-01-01 00:00:00;1.512;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.102;2025-09-30 00:00:00;0.041;2025-10-31 00:00:00;0.067;2025-11-30 00:00:00;0.163;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023140;2026-02-22 02:00:00;00;MAD;51;water;235;0;0;0;2026-02-22 10:21:00;2.237;0.000;0.163;2026-01-01 00:00:00;1.512;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.102;2025-09-30 00:00:00;0.041;2025-10-31 00:00:00;0.067;2025-11-30 00:00:00;0.163;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023140;2026-02-22 03:00:00;00;MAD;51;water;236;0;0;0;2026-02-22 11:21:00;2.237;0.000;0.163;2026-01-01 00:00:00;1.512;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.102;2025-09-30 00:00:00;0.041;2025-10-31 00:00:00;0.067;2025-11-30 00:00:00;0.163;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023140;2026-02-22 04:00:00;00;MAD;51;water;237;0;0;0;2026-02-22 12:21:00;2.237;0.000;0.163;2026-01-01 00:00:00;1.512;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.102;2025-09-30 00:00:00;0.041;2025-10-31 00:00:00;0.067;2025-11-30 00:00:00;0.163;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016046347;;24023142;2026-02-22 00:00:00;00;MAD;51;water;233;0;0;0;2026-02-22 08:27:00;1.263;0.000;1.071;2026-01-01 00:00:00;1.191;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;1.231;2025-09-30 00:00:00;0.954;2025-10-31 00:00:00;1.020;2025-11-30 00:00:00;1.071;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023142;2026-02-22 01:00:00;00;MAD;51;water;234;0;0;0;2026-02-22 09:27:00;1.263;0.000;1.071;2026-01-01 00:00:00;1.191;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;1.231;2025-09-30 00:00:00;0.954;2025-10-31 00:00:00;1.020;2025-11-30 00:00:00;1.071;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023142;2026-02-22 02:00:00;00;MAD;51;water;235;0;0;0;2026-02-22 10:27:00;1.263;0.000;1.071;2026-01-01 00:00:00;1.191;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;1.231;2025-09-30 00:00:00;0.954;2025-10-31 00:00:00;1.020;2025-11-30 00:00:00;1.071;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023142;2026-02-22 03:00:00;00;MAD;51;water;236;0;0;0;2026-02-22 11:27:00;1.263;0.000;1.071;2026-01-01 00:00:00;1.191;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;1.231;2025-09-30 00:00:00;0.954;2025-10-31 00:00:00;1.020;2025-11-30 00:00:00;1.071;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
0016046347;;24023142;2026-02-22 04:00:00;00;MAD;51;water;237;0;0;0;2026-02-22 12:27:00;1.263;0.000;1.071;2026-01-01 00:00:00;1.191;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;1.231;2025-09-30 00:00:00;0.954;2025-10-31 00:00:00;1.020;2025-11-30 00:00:00;1.071;2025-12-31 00:00:00;2027-01-01 00:00:00;12;0;788;24890
